Model,Train Acc,Test Acc,F1 Macro,F1 Wt,TP,TN,FP,FN,Train Time,P (C0),R (C0),F1 (C0),P (C1),R (C1),F1 (C1)
Random Forest,1.0,0.9990813370079853,0.9055668744099952,0.9990746962990946,14110,28,7,6,0.46713709831237793,0.8235294117647058,0.8,0.8115942028985508,0.9995041439399306,0.9995749504108813,0.9995395459214395
Gradient Boosting,0.999222642309459,0.9989400042399831,0.8877940737255814,0.9989163293044858,14110,26,9,6,1.1634047031402588,0.8125,0.7428571428571429,0.7761194029850746,0.9993625610878958,0.9995749504108813,0.9994687444660882
K-Nearest Neighbors,0.9993816472916152,0.9988693378559819,0.8916084853452007,0.9988998161830432,14106,29,6,10,0.06830954551696777,0.7435897435897436,0.8285714285714286,0.7837837837837838,0.9995748299319728,0.9992915840181354,0.9994331869066175
Logistic Regression,0.9987986290237094,0.9985866723199774,0.8210745389992009,0.998410356614657,14113,18,17,3,0.046724557876586914,0.8571428571428571,0.5142857142857142,0.6428571428571429,0.9987968860580325,0.9997874752054406,0.9992919351412589
